season,constructorName,points,wins,position,donor_pool
2017,HAAS,47.0,0,8,placebo_haas
2018,HAAS,93.0,0,6,placebo_haas
2019,HAAS,28.0,0,9,placebo_haas
2020,HAAS,3.0,0,9,placebo_haas
2021,HAAS,0.0,0,10,placebo_haas
2022,HAAS,37.0,0,8,placebo_haas
2023,HAAS,12.0,0,10,placebo_haas
2024,HAAS,58.0,0,7,placebo_haas
