season,constructorName,points,wins,position,donor_pool
2017,MCLAREN,30.0,0,9,treated
2018,MCLAREN,62.0,0,7,treated
2019,MCLAREN,145.0,0,4,treated
2020,MCLAREN,202.0,0,3,treated
2021,MCLAREN,275.0,1,4,treated
2022,MCLAREN,159.0,0,5,treated
2023,MCLAREN,302.0,0,4,treated
2024,MCLAREN,666.0,6,1,treated
