season,constructorName,points,wins,position,donor_pool
2017,SAUBER,5.0,0,10,placebo_sauber
2018,SAUBER,48.0,0,8,placebo_sauber
2019,SAUBER,57.0,0,8,placebo_sauber
2020,SAUBER,8.0,0,8,placebo_sauber
2021,SAUBER,13.0,0,9,placebo_sauber
2022,SAUBER,55.0,0,6,placebo_sauber
2023,SAUBER,16.0,0,9,placebo_sauber
2024,SAUBER,4.0,0,10,placebo_sauber
